timestamp_utc,download_mbps,upload_mbps,ping_ms,server_name,server_country,isp,public_ip,local_hostname,machine,hour_utc,is_outlier_download,is_outlier_upload,is_outlier_ping,is_outlier_any
2026-02-11T20:07:31.871561+00:00,72.219,55.471,8.790,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,20,0,0,0,0
2026-02-11T20:07:39.102261+00:00,187.137,129.806,11.680,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,20,0,0,0,0
2026-02-11T20:07:39.206023+00:00,131.086,128.204,11.397,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,20,0,0,0,0
2026-02-11T20:08:23.795466+00:00,229.933,96.871,5.701,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,20,0,0,0,0
2026-02-11T20:08:23.904118+00:00,166.637,119.677,8.461,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,20,0,0,0,0
2026-02-11T20:08:38.754038+00:00,20.250,38.328,9.460,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,20,0,0,0,0
2026-02-11T20:08:42.680023+00:00,301.764,106.507,15.626,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,20,0,0,0,0
2026-02-11T20:08:56.305745+00:00,197.885,61.988,17.973,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,20,0,0,0,0
2026-02-11T20:08:58.935381+00:00,301.691,145.415,7.906,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,20,0,0,0,0
2026-02-11T20:09:02.745582+00:00,44.616,79.552,7.241,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,20,0,0,0,0
2026-02-11T20:09:49.089070+00:00,65.707,26.519,10.831,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,20,0,0,0,0
