timestamp_utc,download_mbps,upload_mbps,ping_ms,server_name,server_country,isp,public_ip,local_hostname,machine
2026-02-11T19:09:51.779539+00:00,405.063,151.213,7.02,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T19:10:23.957782+00:00,17.787,34.411,6.197,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T19:30:40.435210+00:00,363.535,64.903,6.56,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T19:31:37.403596+00:00,458.942,240.85,5.977,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T19:32:04.011534+00:00,403.296,82.076,5.634,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T19:32:32.940376+00:00,363.354,39.358,6.597,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T19:33:08.398696+00:00,507.245,121.205,5.722,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T19:33:25.946150+00:00,509.789,191.804,6.355,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T19:33:45.444492+00:00,421.159,153.638,5.756,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T19:34:07.097911+00:00,420.46,110.879,6.47,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T19:48:39.663489+00:00,458.337,174.787,5.649,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T19:49:18.409885+00:00,424.954,13.56,9.632,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T19:49:44.662683+00:00,372.706,184.929,6.358,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T19:50:10.129653+00:00,394.497,192.381,6.123,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T19:50:36.683808+00:00,441.818,151.033,5.921,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:05:26.691148+00:00,267.627,84.051,12.148,San Jose,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:05:39.934676+00:00,369.165,203.685,13.416,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:06:00.255508+00:00,297.518,72.855,7.991,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:06:09.684482+00:00,205.054,158.446,32.084,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:06:18.377489+00:00,261.715,18.206,18.539,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:06:18.570700+00:00,81.128,1.67,20.415,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:06:48.403120+00:00,81.607,48.255,6.865,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:07:00.349368+00:00,163.817,110.665,8.051,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:07:01.520279+00:00,320.873,98.937,11.981,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:07:19.260577+00:00,204.603,174.76,16.648,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:07:31.871561+00:00,72.219,55.471,8.79,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:07:39.102261+00:00,187.137,129.806,11.68,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:07:39.206023+00:00,131.086,128.204,11.397,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:08:23.795466+00:00,229.933,96.871,5.701,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:08:23.904118+00:00,166.637,119.677,8.461,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:08:38.754038+00:00,20.25,38.328,9.46,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:08:42.680023+00:00,301.764,106.507,15.626,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:08:56.305745+00:00,197.885,61.988,17.973,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:08:58.935381+00:00,301.691,145.415,7.906,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:09:02.745582+00:00,44.616,79.552,7.241,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:09:49.089070+00:00,65.707,26.519,10.831,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:09:49.472569+00:00,16.63,18.529,12.96,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:10:06.062046+00:00,108.89,72.007,51.218,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:10:10.572910+00:00,55.638,7.813,43.67,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:10:22.388290+00:00,104.028,55.059,38.445,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:10:25.500633+00:00,2.915,11.479,12.192,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:10:27.376337+00:00,124.787,65.908,43.453,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:11:07.770143+00:00,142.046,181.946,5.864,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:11:08.100302+00:00,219.848,158.274,5.803,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:51:50.436586+00:00,376.848,43.952,6.386,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:52:14.562344+00:00,459.512,139.766,5.866,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:52:43.657728+00:00,21.739,56.422,5.898,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:53:05.740897+00:00,452.323,141.479,6.029,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:53:24.651032+00:00,447.381,232.626,6.136,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:54:07.738406+00:00,296.687,22.837,5.782,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:54:27.369396+00:00,480.179,197.093,8.314,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
2026-02-11T20:54:54.488017+00:00,82.289,75.603,6.227,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0
